Date,PlayerID,Training,SessionType,Duration,RPE,SessionLoad,DailyLoad,AcuteLoad,ChronicLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself
2018-07-21,13,Yes,Mobility/Recovery,5,0,0,446,323.1,303.25,1.07,NA,NA,Not at all
2018-07-21,13,Yes,Game,29,7,203,NA,NA,NA,NA,NA,NA,Not at all
2018-07-21,13,Yes,Game,27,9,243,NA,NA,NA,NA,NA,NA,Not at all
2018-07-20,11,Yes,Game,36,6,216,534,256.3,344.18,0.74,9,10,Absolutely
2018-07-20,11,Yes,Game,36,8,288,NA,NA,NA,NA,9,10,Absolutely
2018-07-20,11,Yes,Mobility/Recovery,15,2,30,NA,NA,NA,NA,9,10,Absolutely
2018-07-20,13,Yes,Game,27,6,162,306,259.4,287.32,0.9,NA,NA,Not at all
2018-07-20,13,Yes,Game,24,6,144,NA,NA,NA,NA,NA,NA,Not at all
2018-07-20,13,Yes,Mobility/Recovery,10,0,0,NA,NA,NA,NA,NA,NA,Not at all
2018-07-19,1,Yes,Skills,60,3,180,180,87.9,140.54,0.63,NA,NA,NA
2018-07-19,2,Yes,Skills,60,4,240,240,117.1,279.96,0.42,NA,NA,NA
2018-07-19,6,Yes,Conditioning,20,9,180,380,107.1,301.54,0.36,8,8,NA
2018-07-19,6,Yes,Strength,30,4,120,NA,NA,NA,NA,8,8,NA
2018-07-19,6,Yes,Combat,20,4,80,NA,NA,NA,NA,8,8,NA
2018-07-19,7,Yes,Skills,60,5,300,300,141.4,342.32,0.41,NA,NA,NA
2018-07-19,10,Yes,Skills,75,4,300,300,122.1,250,0.49,NA,NA,NA
2018-07-19,11,Yes,Skills,90,5,450,450,180,325.11,0.55,9,9,Absolutely
2018-07-19,13,Yes,Skills,90,6,540,540,215.7,276.39,0.78,NA,NA,Not at all
2018-07-19,13,Yes,Mobility/Recovery,30,0,0,NA,NA,NA,NA,NA,NA,Not at all
2018-07-19,16,Yes,Skills,60,4,240,240,102.9,348.57,0.3,7,10,Absolutely
2018-07-18,1,No,NA,NA,NA,NA,NA,62.1,159.46,0.39,NA,NA,NA
2018-07-18,2,No,NA,NA,NA,NA,NA,82.9,316.57,0.26,NA,NA,NA
2018-07-18,3,No,NA,NA,NA,NA,NA,105,372.25,0.28,NA,NA,Absolutely
2018-07-18,6,No,NA,NA,NA,NA,NA,52.9,333.5,0.16,NA,NA,NA
2018-07-18,7,No,NA,NA,NA,NA,NA,98.6,372.86,0.26,NA,NA,Absolutely
2018-07-18,10,No,NA,NA,NA,NA,NA,79.3,271.43,0.29,NA,NA,Somewhat
2018-07-18,11,No,NA,NA,NA,NA,NA,115.7,351.36,0.33,NA,NA,Absolutely
2018-07-18,13,Yes,Mobility/Recovery,30,0,0,0,138.6,280.68,0.49,NA,NA,Not at all
2018-07-18,16,No,NA,NA,NA,NA,NA,68.6,378.21,0.18,NA,NA,Absolutely
2018-07-17,1,Yes,Skills,60,3,180,195,62.1,173.93,0.36,NA,NA,NA
2018-07-17,1,Yes,Mobility/Recovery,30,0,15,NA,NA,NA,NA,NA,NA,NA
2018-07-17,2,Yes,Skills,60,4,240,280,181.4,349.07,0.52,NA,NA,NA
2018-07-17,2,Yes,Mobility/Recovery,40,1,40,NA,NA,NA,NA,NA,NA,NA
2018-07-17,3,Yes,Skills,75,5,375,375,190.7,392.61,0.49,NA,NA,Absolutely
2018-07-17,4,Yes,Skills,60,5,300,300,107.1,309.11,0.35,7,8,NA
2018-07-17,5,Yes,Skills,60,5,300,300,42.9,100.71,0.43,9,9,NA
2018-07-17,6,Yes,Speed,30,3,90,370,52.9,333.5,0.16,NA,NA,NA
2018-07-17,6,Yes,Conditioning,35,8,280,NA,NA,NA,NA,NA,NA,NA
2018-07-17,7,Yes,Skills,75,6,450,450,205.7,401.79,0.51,NA,NA,NA
2018-07-17,10,Yes,Skills,60,4,240,240,79.3,298.57,0.27,NA,NA,NA
2018-07-17,11,Yes,Skills,90,5,450,450,210,391.36,0.54,9,9,Absolutely
2018-07-17,13,Yes,Skills,90,6,540,540,268.6,309.25,0.87,NA,NA,Not at all
2018-07-17,13,Yes,Mobility/Recovery,60,0,0,NA,NA,NA,NA,NA,NA,Not at all
2018-07-17,14,Yes,Skills,90,5,450,450,137.1,330.93,0.41,NA,NA,NA
2018-07-17,15,Yes,Skills,60,4,240,240,34.3,161.68,0.21,8,9,Absolutely
2018-07-17,16,Yes,Skills,60,3,180,220,147.9,401.25,0.37,10,10,Absolutely
2018-07-17,16,Yes,Mobility/Recovery,40,1,40,NA,NA,NA,NA,10,10,Absolutely
2018-07-16,1,Yes,Skills,60,3,180,240,34.3,166.96,0.21,NA,NA,NA
2018-07-16,1,Yes,Speed,30,2,60,NA,NA,NA,NA,NA,NA,NA
2018-07-16,2,Yes,Speed,20,3,60,240,141.4,339.07,0.42,NA,NA,NA
2018-07-16,2,Yes,Skills,50,3,150,NA,NA,NA,NA,NA,NA,NA
2018-07-16,2,Yes,Mobility/Recovery,15,2,30,NA,NA,NA,NA,NA,NA,NA
2018-07-16,3,Yes,Speed,30,4,120,360,137.1,379.21,0.36,NA,NA,NA
2018-07-16,3,Yes,Skills,60,4,240,NA,NA,NA,NA,NA,NA,NA
2018-07-16,7,Yes,Skills,60,3,180,240,141.4,385.71,0.37,NA,NA,NA
2018-07-16,7,Yes,Speed,20,3,60,NA,NA,NA,NA,NA,NA,NA
2018-07-16,10,Yes,Speed,25,3,75,315,45,290,0.16,7,8,NA
2018-07-16,10,Yes,Skills,60,4,240,NA,NA,NA,NA,7,8,NA
2018-07-16,11,Yes,Skills,90,4,360,360,145.7,375.29,0.39,9,9,Absolutely
2018-07-16,13,Yes,Speed,20,4,80,430,191.4,289.96,0.66,NA,NA,Not at all
2018-07-16,13,Yes,Skills,70,5,350,NA,NA,NA,NA,NA,NA,Not at all
2018-07-16,13,Yes,Mobility/Recovery,20,0,0,NA,NA,NA,NA,NA,NA,Not at all
2018-07-16,16,Yes,Speed,20,3,60,260,116.4,393.93,0.3,9,9,Absolutely
2018-07-16,16,Yes,Skills,60,3,180,NA,NA,NA,NA,9,9,Absolutely
2018-07-16,16,Yes,Mobility/Recovery,40,0,20,NA,NA,NA,NA,9,9,Absolutely
2018-07-15,3,No,NA,NA,NA,NA,NA,115.4,397.43,0.29,NA,NA,Absolutely
2018-07-15,7,No,NA,NA,NA,NA,NA,167.1,416.25,0.4,NA,NA,NA
2018-07-15,10,No,NA,NA,NA,NA,NA,32.9,278.75,0.12,NA,NA,NA
2018-07-15,11,No,NA,NA,NA,NA,NA,120.4,404.21,0.3,NA,NA,Absolutely
2018-07-15,13,No,NA,NA,NA,NA,NA,166.3,311.04,0.53,NA,NA,Absolutely
2018-07-15,16,No,NA,NA,NA,NA,NA,132.9,418.75,0.32,NA,NA,Absolutely
2018-07-14,1,No,NA,NA,NA,NA,NA,51.4,215.89,0.24,NA,NA,NA
2018-07-14,2,Yes,Mobility/Recovery,30,2,60,60,247,404.25,0.61,NA,NA,NA
2018-07-14,3,No,NA,NA,NA,NA,NA,256.9,397.43,0.65,NA,NA,Absolutely
2018-07-14,7,No,NA,NA,NA,NA,NA,293.6,452.14,0.65,NA,NA,NA
2018-07-14,13,No,NA,NA,NA,NA,NA,269.1,346.39,0.78,NA,NA,Absolutely
2018-07-14,16,No,NA,NA,NA,NA,NA,255,455.89,0.56,NA,NA,Absolutely
2018-07-13,1,No,NA,NA,NA,NA,NA,51.4,215.89,0.24,NA,NA,NA
2018-07-13,2,No,NA,NA,NA,NA,NA,238.4,402.11,0.59,NA,NA,NA
2018-07-13,3,No,NA,NA,NA,NA,NA,256.9,397.43,0.65,NA,NA,Absolutely
2018-07-13,5,No,NA,NA,NA,NA,NA,111.4,121.96,0.91,NA,NA,NA
2018-07-13,7,No,NA,NA,NA,NA,NA,293.6,452.14,0.65,NA,NA,NA
2018-07-13,11,No,NA,NA,NA,NA,NA,231.9,450.82,0.51,NA,NA,Absolutely
2018-07-13,13,No,NA,NA,NA,NA,NA,306.3,346.39,0.88,NA,NA,Absolutely
2018-07-13,16,No,NA,NA,NA,NA,NA,175.7,436.07,0.4,NA,NA,Absolutely
2018-07-12,2,Yes,Speed,30,4,120,690,238.4,402.11,0.59,NA,NA,NA
2018-07-12,2,Yes,Strength,45,4,180,NA,NA,NA,NA,NA,NA,NA
2018-07-12,2,Yes,Skills,60,3,180,NA,NA,NA,NA,NA,NA,NA
2018-07-12,2,Yes,Mobility/Recovery,70,3,210,NA,NA,NA,NA,NA,NA,NA
2018-07-12,3,Yes,Speed,30,4,120,600,256.9,397.43,0.65,NA,NA,Absolutely
2018-07-12,3,Yes,Strength,45,4,180,NA,NA,NA,NA,NA,NA,Absolutely
2018-07-12,3,Yes,Conditioning,75,4,300,NA,NA,NA,NA,NA,NA,Absolutely
2018-07-12,4,Yes,Speed,30,3,90,450,88.3,333.04,0.27,7,8,NA
2018-07-12,4,Yes,Skills,60,4,240,NA,NA,NA,NA,7,8,NA
2018-07-12,4,Yes,Strength,30,4,120,NA,NA,NA,NA,7,8,NA
2018-07-12,7,Yes,Speed,45,5,225,750,293.6,452.14,0.65,NA,NA,NA
2018-07-12,7,Yes,Strength,45,5,225,NA,NA,NA,NA,NA,NA,NA
2018-07-12,7,Yes,Skills,75,4,300,NA,NA,NA,NA,NA,NA,NA
2018-07-12,11,Yes,Speed,45,4,180,660,231.9,450.82,0.51,9,10,Absolutely
2018-07-12,11,Yes,Strength,45,4,180,NA,NA,NA,NA,9,10,Absolutely
2018-07-12,11,Yes,Skills,75,4,300,NA,NA,NA,NA,9,10,Absolutely
2018-07-12,13,Yes,Speed,40,5,200,910,306.3,346.39,0.88,NA,NA,Not at all
2018-07-12,13,Yes,Strength,40,5,200,NA,NA,NA,NA,NA,NA,Not at all
2018-07-12,13,Yes,Skills,60,5,300,NA,NA,NA,NA,NA,NA,Not at all
2018-07-12,13,Yes,Conditioning,30,7,210,NA,NA,NA,NA,NA,NA,Not at all
2018-07-12,13,Yes,Mobility/Recovery,60,0,0,NA,NA,NA,NA,NA,NA,Not at all
2018-07-12,14,Yes,Speed,30,3,90,510,170.9,379.68,0.45,NA,NA,NA
2018-07-12,14,Yes,Strength,45,4,180,NA,NA,NA,NA,NA,NA,NA
2018-07-12,14,Yes,Skills,60,4,240,NA,NA,NA,NA,NA,NA,NA
2018-07-12,16,Yes,Speed,30,3,90,555,255,455.89,0.56,8,9,NA
2018-07-12,16,Yes,Strength,45,5,225,NA,NA,NA,NA,8,9,NA
2018-07-12,16,Yes,Skills,60,4,240,NA,NA,NA,NA,8,9,NA
2018-07-11,2,No,NA,NA,NA,NA,NA,227.7,412.29,0.55,NA,NA,NA
2018-07-11,3,No,NA,NA,NA,NA,NA,280.4,418.86,0.67,NA,NA,Absolutely
2018-07-11,7,No,NA,NA,NA,NA,NA,287.1,455.89,0.63,NA,NA,Absolutely
2018-07-11,10,No,NA,NA,NA,NA,NA,223.6,278.75,0.8,NA,NA,NA
2018-07-11,11,No,NA,NA,NA,NA,NA,224.7,470.46,0.48,NA,NA,Absolutely
2018-07-11,13,Yes,Mobility/Recovery,60,0,0,0,176.3,347.11,0.51,NA,NA,Not at all
2018-07-11,15,No,NA,NA,NA,NA,NA,68.6,174.11,0.39,NA,NA,NA
2018-07-11,16,No,NA,NA,NA,NA,NA,340.7,470.71,0.72,NA,NA,Absolutely
2018-07-10,1,Yes,Skills,90,4,360,360,85,228.75,0.37,NA,NA,NA
2018-07-10,2,Yes,Skills,45,3,135,199,317.7,435.86,0.73,NA,NA,NA
2018-07-10,2,Yes,Game,16,4,64,NA,NA,NA,NA,NA,NA,NA
2018-07-10,3,Yes,Skills,40,4,160,208,400.4,447.79,0.89,NA,NA,Absolutely
2018-07-10,3,Yes,Game,12,4,48,NA,NA,NA,NA,NA,NA,Absolutely
2018-07-10,4,Yes,Skills,30,4,120,168,174.7,375.89,0.46,8,8,NA
2018-07-10,4,Yes,Game,12,4,48,NA,NA,NA,NA,8,8,NA
2018-07-10,5,Yes,Game,10,6,60,60,111.4,146.07,0.76,9,10,NA
2018-07-10,6,Yes,Game,14,7,98,278,263.3,408.46,0.64,9,9,NA
2018-07-10,6,Yes,Skills,45,4,180,NA,NA,NA,NA,9,9,NA
2018-07-10,7,Yes,Skills,60,5,300,420,362.1,470.89,0.77,NA,NA,NA
2018-07-10,7,Yes,Mobility/Recovery,60,2,120,NA,NA,NA,NA,NA,NA,NA
2018-07-10,10,Yes,Skills,60,3,180,230,300.7,302.32,0.99,6,6,NA
2018-07-10,10,Yes,Game,10,5,50,NA,NA,NA,NA,6,6,NA
2018-07-10,11,Yes,Skills,45,3,135,183,291.1,496.71,0.59,10,10,Absolutely
2018-07-10,11,Yes,Game,12,4,48,NA,NA,NA,NA,10,10,Absolutely
2018-07-10,13,Yes,Skills,40,5,200,254,176.3,375.68,0.47,NA,NA,Not at all
2018-07-10,13,Yes,Conditioning,9,6,54,NA,NA,NA,NA,NA,NA,Not at all
2018-07-10,14,Yes,Skills,30,3,90,146,166.6,408.07,0.41,NA,NA,NA
2018-07-10,14,Yes,Game,14,4,56,NA,NA,NA,NA,NA,NA,NA
2018-07-10,15,Yes,Game,12,6,72,72,147.4,191.68,0.77,NA,7,NA
